frame,x,y,z,speed,steer,acc,brake,collision,offtrack,reward
26,2.600000000000001,-0.9255999999999998,0.0,10,743,1,0,0,0,0.1
27,2.700000000000001,-0.8512999999999997,0.0,10,2436,1,0,0,0,0.1
28,2.800000000000001,-0.6076999999999997,0.0,10,-709,1,0,0,0,0.1
29,2.9000000000000012,-0.6785999999999996,0.0,10,1137,1,0,0,0,0.1
30,3.0000000000000013,-0.5648999999999996,0.0,10,-2072,1,1,0,0,0.1
31,3.1000000000000014,-0.7720999999999996,0.0,10,-875,1,0,0,0,0.1
32,3.2000000000000015,-0.8595999999999996,0.0,10,-2719,1,0,0,0,0.1
33,3.3000000000000016,-1.1314999999999995,0.0,10,1991,1,0,0,0,0.1
34,3.4000000000000017,-0.9323999999999995,0.0,10,-2322,1,0,0,0,0.1
35,3.5000000000000018,-1.1645999999999994,0.0,10,-2332,1,0,0,0,0.1
36,3.600000000000002,-1.3977999999999995,0.0,10,1423,1,0,0,0,0.1
37,3.700000000000002,-1.2554999999999994,0.0,10,-1608,1,0,0,0,0.1
38,3.800000000000002,-1.4162999999999994,0.0,10,2910,1,0,0,0,0.1
39,3.900000000000002,-1.1252999999999995,0.0,10,552,1,0,0,0,0.1
40,4.000000000000002,-1.0700999999999996,0.0,10,-1475,1,0,0,0,0.1
41,4.100000000000001,-1.2175999999999996,0.0,10,1923,1,0,0,0,0.1
42,4.200000000000001,-1.0252999999999997,0.0,10,1034,1,1,0,0,0.1
43,4.300000000000001,-0.9218999999999996,0.0,10,-259,1,0,0,0,0.1
44,4.4,-0.9477999999999996,0.0,10,1042,1,0,0,0,0.1
45,4.5,-0.8435999999999997,0.0,10,2019,1,0,0,0,0.1
46,4.6,-0.6416999999999997,0.0,10,-1332,1,0,0,0,0.1
47,4.699999999999999,-0.7748999999999997,0.0,10,329,1,0,0,0,0.1
48,4.799999999999999,-0.7419999999999997,0.0,10,-1160,1,0,0,0,0.1
49,4.899999999999999,-0.8579999999999997,0.0,10,458,1,0,0,0,0.1
50,4.999999999999998,-0.8121999999999997,0.0,10,1908,1,0,0,0,0.1
51,5.099999999999998,-0.6213999999999997,0.0,10,1579,1,0,0,0,0.1
52,5.1999999999999975,-0.4634999999999997,0.0,10,-699,1,0,0,0,0.1
53,5.299999999999997,-0.5333999999999997,0.0,10,1648,1,0,0,0,0.1
54,5.399999999999997,-0.36859999999999965,0.0,10,1810,1,0,0,0,0.1
55,5.4999999999999964,-0.18759999999999966,0.0,10,2271,1,0,0,0,0.1
56,5.599999999999996,0.03950000000000034,0.0,10,-486,1,0,0,0,0.1
57,5.699999999999996,-0.009099999999999657,0.0,10,-2591,1,0,0,0,0.1
58,5.799999999999995,-0.26819999999999966,0.0,10,1803,1,0,0,0,0.1
59,5.899999999999995,-0.08789999999999967,0.0,10,-1559,1,0,0,0,0.1
60,5.999999999999995,-0.24379999999999968,0.0,10,-199,1,0,0,0,0.1
61,6.099999999999994,-0.2636999999999997,0.0,10,-1542,1,0,0,0,0.1
62,6.199999999999994,-0.4178999999999997,0.0,10,-2253,1,0,0,0,0.1
63,6.299999999999994,-0.6431999999999998,0.0,10,-2414,1,0,0,0,0.1
64,6.399999999999993,-0.8845999999999998,0.0,10,912,1,0,0,0,0.1
65,6.499999999999993,-0.7933999999999999,0.0,10,-2855,1,0,0,0,0.1
66,6.5999999999999925,-1.0789,0.0,10,1217,1,1,0,0,0.1
67,6.699999999999992,-0.9571999999999999,0.0,10,523,1,0,0,0,0.1
68,6.799999999999992,-0.9048999999999999,0.0,10,2397,1,0,0,0,0.1
69,6.8999999999999915,-0.6651999999999999,0.0,10,2136,1,0,0,0,0.1
70,6.999999999999991,-0.4515999999999999,0.0,10,-2388,1,0,0,0,0.1
71,7.099999999999991,-0.6903999999999999,0.0,10,-1866,1,1,0,0,0.1
72,7.19999999999999,-0.8769999999999999,0.0,10,237,1,0,0,0,0.1
73,7.29999999999999,-0.8533,0.0,10,-1570,1,0,0,0,0.1
74,7.39999999999999,-1.0103,0.0,10,-596,1,0,0,0,0.1
75,7.499999999999989,-1.0699,0.0,10,-2636,1,0,0,0,0.1
76,7.599999999999989,-1.3335000000000001,0.0,10,-2174,1,0,0,0,0.1
77,7.699999999999989,-1.5509000000000002,0.0,10,-52,1,0,0,0,0.1
78,7.799999999999988,-1.5561000000000003,0.0,10,-489,1,0,0,0,0.1
79,7.899999999999988,-1.6050000000000002,0.0,10,-18,1,0,0,0,0.1
80,7.999999999999988,-1.6068000000000002,0.0,10,-78,1,0,0,0,0.1
81,8.099999999999987,-1.6146000000000003,0.0,10,-337,1,0,0,0,0.1
82,8.199999999999987,-1.6483000000000003,0.0,10,2019,1,0,0,0,0.1
83,8.299999999999986,-1.4464000000000004,0.0,10,-1682,1,0,0,0,0.1
84,8.399999999999986,-1.6146000000000003,0.0,10,-2717,1,0,0,0,0.1
85,8.499999999999986,-1.8863000000000003,0.0,10,-297,1,0,0,0,0.1
86,8.599999999999985,-1.9160000000000004,0.0,10,-784,1,0,0,0,0.1
87,8.699999999999985,-1.9944000000000004,0.0,10,-1998,1,0,0,0,0.1
88,8.799999999999985,-2.1942000000000004,0.0,10,2744,1,0,0,0,0.1
89,8.899999999999984,-1.9198000000000004,0.0,10,-899,1,0,0,0,0.1
90,8.999999999999984,-2.0097000000000005,0.0,10,781,1,0,0,0,0.1
91,9.099999999999984,-1.9316000000000004,0.0,10,-146,1,0,0,0,0.1
92,9.199999999999983,-1.9462000000000004,0.0,10,-683,1,0,0,0,0.1
93,9.299999999999983,-2.0145000000000004,0.0,10,-1871,1,0,0,0,0.1
94,9.399999999999983,-2.2016000000000004,0.0,10,9,1,0,0,0,0.1
95,9.499999999999982,-2.2007000000000003,0.0,10,1047,1,0,0,0,0.1
96,9.599999999999982,-2.0960000000000005,0.0,10,-340,1,0,0,0,0.1
97,9.699999999999982,-2.1300000000000003,0.0,10,-1457,1,0,0,0,0.1
98,9.799999999999981,-2.2757000000000005,0.0,10,2964,1,0,0,0,0.1
99,9.89999999999998,-1.9793000000000005,0.0,10,-1374,1,0,0,0,0.1
100,9.99999999999998,-2.1167000000000007,0.0,10,-1028,1,0,0,0,0.1
101,10.09999999999998,-2.219500000000001,0.0,10,1353,1,0,0,0,0.1
102,10.19999999999998,-2.084200000000001,0.0,10,2844,1,0,0,0,0.1
103,10.29999999999998,-1.799800000000001,0.0,10,-314,1,0,0,0,0.1
104,10.399999999999979,-1.831200000000001,0.0,10,-1672,1,0,0,0,0.1
105,10.499999999999979,-1.998400000000001,0.0,10,-1733,1,0,0,0,0.1
106,10.599999999999978,-2.1717000000000013,0.0,10,-1528,1,0,0,0,0.1
107,10.699999999999978,-2.3245000000000013,0.0,10,2467,1,0,0,0,0.1
108,10.799999999999978,-2.077800000000001,0.0,10,1329,1,0,0,0,0.1
109,10.899999999999977,-1.9449000000000012,0.0,10,1291,1,0,0,0,0.1
110,10.999999999999977,-1.8158000000000012,0.0,10,1792,1,0,0,0,0.1
111,11.099999999999977,-1.6366000000000012,0.0,10,-2539,1,0,0,0,0.1
112,11.199999999999976,-1.8905000000000012,0.0,10,2475,1,0,0,0,0.1
113,11.299999999999976,-1.6430000000000011,0.0,10,-1745,1,0,0,0,0.1
114,11.399999999999975,-1.8175000000000012,0.0,10,-1136,1,0,0,0,0.1
115,11.499999999999975,-1.9311000000000011,0.0,10,-1297,1,0,0,0,0.1
116,11.599999999999975,-2.0608000000000013,0.0,10,2607,1,0,0,0,0.1
117,11.699999999999974,-1.8001000000000014,0.0,10,1431,1,0,0,0,0.1
118,11.799999999999974,-1.6570000000000014,0.0,10,2743,1,0,0,0,0.1
119,11.899999999999974,-1.3827000000000014,0.0,10,1231,1,0,0,0,0.1
120,11.999999999999973,-1.2596000000000014,0.0,10,1735,1,0,0,0,0.1
121,12.099999999999973,-1.0861000000000014,0.0,10,-2956,1,0,0,0,0.1
122,12.199999999999973,-1.3817000000000013,0.0,10,-2776,1,0,0,0,0.1
123,12.299999999999972,-1.6593000000000013,0.0,10,1533,1,0,0,0,0.1
124,12.399999999999972,-1.5060000000000013,0.0,10,2401,1,0,0,0,0.1
125,12.499999999999972,-1.2659000000000014,0.0,10,736,1,0,0,0,0.1
126,12.599999999999971,-1.1923000000000012,0.0,10,-2558,1,0,0,0,0.1
127,12.69999999999997,-1.4481000000000013,0.0,10,2440,1,0,0,0,0.1
128,12.79999999999997,-1.2041000000000013,0.0,10,1082,1,0,0,0,0.1
129,12.89999999999997,-1.0959000000000012,0.0,10,1389,1,0,0,0,0.1
130,12.99999999999997,-0.9570000000000012,0.0,10,1159,1,0,0,0,0.1
131,13.09999999999997,-0.8411000000000012,0.0,10,-1768,1,0,0,0,0.1
132,13.199999999999969,-1.0179000000000011,0.0,10,1153,1,0,0,0,0.1
133,13.299999999999969,-0.9026000000000012,0.0,10,-1322,1,0,0,0,0.1
134,13.399999999999968,-1.0348000000000013,0.0,10,415,1,0,0,0,0.1
135,13.499999999999968,-0.9933000000000013,0.0,10,-2519,1,0,0,0,0.1
136,13.599999999999968,-1.2452000000000014,0.0,10,2468,1,0,0,0,0.1
137,13.699999999999967,-0.9984000000000014,0.0,10,-2862,1,0,0,0,0.1
138,13.799999999999967,-1.2846000000000015,0.0,10,-1006,1,0,0,0,0.1
139,13.899999999999967,-1.3852000000000015,0.0,10,-1243,1,0,0,0,0.1
140,13.999999999999966,-1.5095000000000016,0.0,10,-2901,1,1,0,0,0.1
141,14.099999999999966,-1.7996000000000016,0.0,10,-1270,1,0,0,0,0.1
142,14.199999999999966,-1.9266000000000016,0.0,10,-2152,1,0,0,0,0.1
143,14.299999999999965,-2.1418000000000017,0.0,10,363,1,0,0,0,0.1
144,14.399999999999965,-2.105500000000002,0.0,10,-2022,1,0,0,0,0.1
145,14.499999999999964,-2.307700000000002,0.0,10,2397,1,0,0,0,0.1
146,14.599999999999964,-2.068000000000002,0.0,10,-740,1,0,0,0,0.1
147,14.699999999999964,-2.1420000000000017,0.0,10,-761,1,0,0,0,0.1
148,14.799999999999963,-2.2181000000000015,0.0,10,-859,1,0,0,0,0.1
149,14.899999999999963,-2.3040000000000016,0.0,10,2929,1,0,0,0,0.1
150,14.999999999999963,-2.0111000000000017,0.0,10,1270,1,0,0,0,0.1
151,15.099999999999962,-1.8841000000000017,0.0,10,1423,1,0,0,0,0.1
152,15.199999999999962,-1.7418000000000016,0.0,10,392,1,0,0,0,0.1
153,15.299999999999962,-1.7026000000000017,0.0,10,-895,1,0,0,0,0.1
154,15.399999999999961,-1.7921000000000016,0.0,10,-971,1,0,0,0,0.1
155,15.499999999999961,-1.8892000000000015,0.0,10,-1601,1,0,0,0,0.1
156,15.59999999999996,-2.0493000000000015,0.0,10,2125,1,0,0,0,0.1
157,15.69999999999996,-1.8368000000000015,0.0,10,1942,1,0,0,0,0.1
158,15.79999999999996,-1.6426000000000016,0.0,10,-1674,1,0,0,0,0.1
159,15.89999999999996,-1.8100000000000016,0.0,10,2431,1,0,0,0,0.1
160,15.99999999999996,-1.5669000000000015,0.0,10,86,1,0,0,0,0.1
161,16.09999999999996,-1.5583000000000016,0.0,10,-2385,1,0,0,0,0.1
162,16.19999999999996,-1.7968000000000015,0.0,10,-1425,1,0,0,0,0.1
163,16.29999999999996,-1.9393000000000016,0.0,10,-1119,1,0,0,0,0.1
164,16.399999999999963,-2.0512000000000015,0.0,10,1848,1,0,0,0,0.1
165,16.499999999999964,-1.8664000000000014,0.0,10,-1456,1,0,0,0,0.1
166,16.599999999999966,-2.0120000000000013,0.0,10,2369,1,1,0,0,0.1
167,16.699999999999967,-1.7751000000000015,0.0,10,-2816,1,0,0,0,0.1
168,16.79999999999997,-2.0567000000000015,0.0,10,1338,1,0,0,0,0.1
169,16.89999999999997,-1.9229000000000016,0.0,10,1833,1,0,0,0,0.1
170,16.99999999999997,-1.7396000000000016,0.0,10,-677,1,0,0,0,0.1
171,17.099999999999973,-1.8073000000000017,0.0,10,-1010,1,0,0,0,0.1
172,17.199999999999974,-1.9083000000000017,0.0,10,1043,1,0,0,0,0.1
173,17.299999999999976,-1.8040000000000016,0.0,10,-1081,1,0,0,0,0.1
174,17.399999999999977,-1.9121000000000017,0.0,10,-1972,1,1,0,0,0.1
175,17.49999999999998,-2.1093000000000015,0.0,10,1470,1,1,0,0,0.1
176,17.59999999999998,-1.9623000000000015,0.0,10,-563,1,0,0,1,-19.9
177,17.69999999999998,-2.0186000000000015,0.0,10,-142,1,0,0,0,0.1
178,17.799999999999983,-2.0328000000000017,0.0,10,-219,1,0,0,0,0.1
179,17.899999999999984,-2.0547000000000017,0.0,10,-31,1,0,0,0,0.1
180,17.999999999999986,-2.0578000000000016,0.0,10,-6,1,0,0,1,-19.9
181,18.099999999999987,-2.0584000000000016,0.0,10,2778,1,0,0,0,0.1
182,18.19999999999999,-1.7806000000000015,0.0,10,-1578,1,1,0,0,0.1
183,18.29999999999999,-1.9384000000000015,0.0,10,2497,1,0,0,0,0.1
184,18.39999999999999,-1.6887000000000014,0.0,10,-1053,1,0,0,0,0.1
185,18.499999999999993,-1.7940000000000014,0.0,10,1812,1,0,0,0,0.1
186,18.599999999999994,-1.6128000000000013,0.0,10,809,1,0,0,0,0.1
187,18.699999999999996,-1.5319000000000014,0.0,10,-1812,1,0,0,0,0.1
188,18.799999999999997,-1.7131000000000014,0.0,10,101,1,1,0,0,0.1
189,18.9,-1.7030000000000014,0.0,10,-1763,1,0,0,0,0.1
190,19.0,-1.8793000000000015,0.0,10,-1310,1,0,0,0,0.1
191,19.1,-2.0103000000000018,0.0,10,-1678,1,0,0,0,0.1
192,19.200000000000003,-2.178100000000002,0.0,10,1534,1,0,0,0,0.1
193,19.300000000000004,-2.024700000000002,0.0,10,1492,1,0,0,0,0.1
194,19.400000000000006,-1.875500000000002,0.0,10,1495,1,0,0,0,0.1
195,19.500000000000007,-1.726000000000002,0.0,10,1394,1,0,0,0,0.1
196,19.60000000000001,-1.586600000000002,0.0,10,-851,1,0,0,0,0.1
197,19.70000000000001,-1.671700000000002,0.0,10,461,1,0,0,0,0.1
198,19.80000000000001,-1.625600000000002,0.0,10,-521,1,0,0,0,0.1
199,19.900000000000013,-1.677700000000002,0.0,10,-84,1,0,0,0,0.1
200,20.000000000000014,-1.686100000000002,0.0,10,790,1,0,0,0,0.1
201,20.100000000000016,-1.607100000000002,0.0,10,-658,1,0,0,0,0.1
202,20.200000000000017,-1.672900000000002,0.0,10,1460,1,0,0,0,0.1
203,20.30000000000002,-1.5269000000000021,0.0,10,-2732,1,0,0,0,0.1
204,20.40000000000002,-1.8001000000000023,0.0,10,1451,1,0,0,0,0.1
205,20.50000000000002,-1.6550000000000022,0.0,10,-2975,1,0,0,0,0.1
206,20.600000000000023,-1.9525000000000023,0.0,10,1677,1,0,0,0,0.1
207,20.700000000000024,-1.7848000000000024,0.0,10,-455,1,0,0,0,0.1
208,20.800000000000026,-1.8303000000000025,0.0,10,1513,1,0,0,0,0.1
209,20.900000000000027,-1.6790000000000025,0.0,10,-2012,1,0,0,0,0.1
210,21.00000000000003,-1.8802000000000025,0.0,10,2177,1,0,0,0,0.1
211,21.10000000000003,-1.6625000000000025,0.0,10,-584,1,0,0,0,0.1
212,21.20000000000003,-1.7209000000000025,0.0,10,2563,1,0,0,0,0.1
213,21.300000000000033,-1.4646000000000026,0.0,10,-1574,1,0,0,0,0.1
214,21.400000000000034,-1.6220000000000026,0.0,10,-426,1,0,0,0,0.1
215,21.500000000000036,-1.6646000000000025,0.0,10,276,1,0,0,1,-19.9
216,21.600000000000037,-1.6370000000000025,0.0,10,-2988,1,1,0,0,0.1
217,21.70000000000004,-1.9358000000000024,0.0,10,2975,1,0,0,0,0.1
218,21.80000000000004,-1.6383000000000023,0.0,10,952,1,0,0,0,0.1
219,21.90000000000004,-1.5431000000000024,0.0,10,615,1,0,0,0,0.1
220,22.000000000000043,-1.4816000000000025,0.0,10,-1997,1,0,0,0,0.1
221,22.100000000000044,-1.6813000000000025,0.0,10,1163,1,0,0,0,0.1
222,22.200000000000045,-1.5650000000000024,0.0,10,898,1,0,0,0,0.1
223,22.300000000000047,-1.4752000000000023,0.0,10,-1523,1,0,0,0,0.1
224,22.40000000000005,-1.6275000000000022,0.0,10,-2333,1,0,0,0,0.1
225,22.50000000000005,-1.8608000000000022,0.0,10,1680,1,0,0,0,0.1
226,22.60000000000005,-1.6928000000000023,0.0,10,-2254,1,0,0,0,0.1
227,22.700000000000053,-1.9182000000000023,0.0,10,-1290,1,1,0,0,0.1
228,22.800000000000054,-2.0472000000000024,0.0,10,1646,1,0,0,0,0.1
229,22.900000000000055,-1.8826000000000023,0.0,10,-227,1,0,0,0,0.1
230,23.000000000000057,-1.9053000000000022,0.0,10,2235,1,0,0,0,0.1
231,23.10000000000006,-1.6818000000000022,0.0,10,-203,1,0,0,0,0.1
232,23.20000000000006,-1.7021000000000022,0.0,10,-297,1,0,0,0,0.1
233,23.30000000000006,-1.7318000000000022,0.0,10,-1343,1,0,0,1,-19.9
234,23.400000000000063,-1.8661000000000023,0.0,10,-682,1,0,0,0,0.1
235,23.500000000000064,-1.9343000000000024,0.0,10,-465,1,0,0,0,0.1
236,23.600000000000065,-1.9808000000000023,0.0,10,219,1,0,0,0,0.1
237,23.700000000000067,-1.9589000000000023,0.0,10,-2125,1,0,0,0,0.1
238,23.800000000000068,-2.1714000000000024,0.0,10,1774,1,0,0,0,0.1
239,23.90000000000007,-1.9940000000000024,0.0,10,158,1,0,0,0,0.1
240,24.00000000000007,-1.9782000000000024,0.0,10,802,1,1,0,0,0.1
241,24.100000000000072,-1.8980000000000024,0.0,10,2451,1,0,0,0,0.1
242,24.200000000000074,-1.6529000000000023,0.0,10,2718,1,0,0,0,0.1
243,24.300000000000075,-1.3811000000000022,0.0,10,-2346,1,0,0,0,0.1
244,24.400000000000077,-1.6157000000000021,0.0,10,-502,1,0,0,0,0.1
245,24.500000000000078,-1.6659000000000022,0.0,10,2390,1,0,0,0,0.1
246,24.60000000000008,-1.426900000000002,0.0,10,-2866,1,0,0,0,0.1
247,24.70000000000008,-1.713500000000002,0.0,10,-910,1,0,0,0,0.1
248,24.800000000000082,-1.804500000000002,0.0,10,2633,1,0,0,0,0.1
249,24.900000000000084,-1.5412000000000021,0.0,10,-2975,1,0,0,0,0.1
250,25.000000000000085,-1.838700000000002,0.0,10,1782,1,0,0,0,0.1
251,25.100000000000087,-1.660500000000002,0.0,10,1101,1,0,0,0,0.1
252,25.200000000000088,-1.550400000000002,0.0,10,-1870,1,0,0,0,0.1
253,25.30000000000009,-1.737400000000002,0.0,10,-1108,1,0,0,0,0.1
254,25.40000000000009,-1.848200000000002,0.0,10,-2819,1,0,0,0,0.1
255,25.500000000000092,-2.130100000000002,0.0,10,-1113,1,0,0,0,0.1
256,25.600000000000094,-2.241400000000002,0.0,10,-2407,1,0,0,0,0.1
257,25.700000000000095,-2.4821000000000017,0.0,10,993,1,0,0,0,0.1
258,25.800000000000097,-2.382800000000002,0.0,10,1454,1,0,0,0,0.1
259,25.900000000000098,-2.237400000000002,0.0,10,62,1,0,0,0,0.1
260,26.0000000000001,-2.2312000000000016,0.0,10,-2349,1,0,0,0,0.1
261,26.1000000000001,-2.4661000000000017,0.0,10,1881,1,0,0,0,0.1
262,26.200000000000102,-2.278000000000002,0.0,10,1978,1,1,0,0,0.1
263,26.300000000000104,-2.080200000000002,0.0,10,-2629,1,0,0,0,0.1
264,26.400000000000105,-2.343100000000002,0.0,10,2391,1,0,0,0,0.1
265,26.500000000000107,-2.104000000000002,0.0,10,1779,1,0,0,0,0.1
266,26.600000000000108,-1.926100000000002,0.0,10,-74,1,0,0,0,0.1
267,26.70000000000011,-1.933500000000002,0.0,10,-122,1,0,1,0,-9.9
268,26.80000000000011,-1.945700000000002,0.0,5.0,1085,1,0,0,0,0.05
269,26.900000000000112,-1.837200000000002,0.0,10,243,1,0,0,0,0.1
270,27.000000000000114,-1.812900000000002,0.0,10,-2090,1,0,0,0,0.1
271,27.100000000000115,-2.021900000000002,0.0,10,265,1,0,0,0,0.1
272,27.200000000000117,-1.9954000000000018,0.0,10,-2167,1,0,0,0,0.1
273,27.300000000000118,-2.2121000000000017,0.0,10,1848,1,0,0,0,0.1
274,27.40000000000012,-2.0273000000000017,0.0,10,-1264,1,0,0,0,0.1
275,27.50000000000012,-2.1537000000000015,0.0,10,516,1,0,0,0,0.1
276,27.600000000000122,-2.1021000000000014,0.0,10,-2683,1,0,0,0,0.1
277,27.700000000000124,-2.3704000000000014,0.0,10,-1299,1,0,0,0,0.1
278,27.800000000000125,-2.5003000000000015,0.0,10,-2178,1,0,0,0,0.1
279,27.900000000000126,-2.7181000000000015,0.0,10,2961,1,0,0,0,0.1
280,28.000000000000128,-2.4220000000000015,0.0,10,-1932,1,0,0,0,0.1
281,28.10000000000013,-2.6152000000000015,0.0,10,916,1,0,0,0,0.1
282,28.20000000000013,-2.5236000000000014,0.0,10,1643,1,0,0,0,0.1
283,28.300000000000132,-2.3593000000000015,0.0,10,-737,1,1,0,0,0.1
284,28.400000000000134,-2.4330000000000016,0.0,10,-177,1,0,1,0,-9.9
285,28.500000000000135,-2.4507000000000017,0.0,5.0,-882,1,0,0,0,0.05
286,28.600000000000136,-2.5389000000000017,0.0,10,-2988,1,0,0,0,0.1
287,28.700000000000138,-2.8377000000000017,0.0,10,-2131,1,0,0,0,0.1
288,28.80000000000014,-3.0508000000000015,0.0,10,260,1,0,0,0,0.1
289,28.90000000000014,-3.0248000000000017,0.0,10,1243,1,0,0,0,0.1
290,29.000000000000142,-2.900500000000002,0.0,10,-1406,1,0,0,0,0.1
291,29.100000000000144,-3.041100000000002,0.0,10,1497,1,0,0,0,0.1
292,29.200000000000145,-2.8914000000000017,0.0,10,-1302,1,0,0,0,0.1
293,29.300000000000146,-3.0216000000000016,0.0,10,-12,1,0,0,0,0.1
294,29.400000000000148,-3.0228000000000015,0.0,10,902,1,0,0,0,0.1
295,29.50000000000015,-2.9326000000000016,0.0,10,-444,1,0,0,1,-19.9
296,29.60000000000015,-2.9770000000000016,0.0,10,-2048,1,0,0,0,0.1
297,29.700000000000152,-3.1818000000000017,0.0,10,1984,1,0,0,0,0.1
298,29.800000000000153,-2.983400000000002,0.0,10,-845,1,0,0,0,0.1
299,29.900000000000155,-3.0679000000000016,0.0,10,1207,1,0,0,0,0.1
300,30.000000000000156,-2.947200000000002,0.0,10,-1906,1,1,0,0,0.1
301,30.100000000000158,-3.1378000000000017,0.0,10,-875,1,0,0,0,0.1
302,30.20000000000016,-3.2253000000000016,0.0,10,1035,1,0,0,0,0.1
303,30.30000000000016,-3.1218000000000017,0.0,10,-1700,1,0,0,0,0.1
304,30.400000000000162,-3.2918000000000016,0.0,10,-1020,1,0,0,0,0.1
305,30.500000000000163,-3.3938000000000015,0.0,10,-1835,1,0,0,0,0.1
306,30.600000000000165,-3.5773000000000015,0.0,10,-1541,1,0,0,0,0.1
307,30.700000000000166,-3.7314000000000016,0.0,10,2106,1,0,0,0,0.1
308,30.800000000000168,-3.5208000000000017,0.0,10,-852,1,0,0,0,0.1
309,30.90000000000017,-3.6060000000000016,0.0,10,1818,1,0,0,0,0.1
310,31.00000000000017,-3.4242000000000017,0.0,10,1158,1,0,0,0,0.1
311,31.100000000000172,-3.3084000000000016,0.0,10,-541,1,0,0,0,0.1
312,31.200000000000173,-3.3625000000000016,0.0,10,1890,1,0,0,0,0.1
313,31.300000000000175,-3.1735000000000015,0.0,10,1295,1,0,0,0,0.1
314,31.400000000000176,-3.0440000000000014,0.0,10,854,1,0,1,0,-9.9
315,31.500000000000178,-2.9586000000000015,0.0,5.0,2288,1,0,0,0,0.05
316,31.60000000000018,-2.7298000000000013,0.0,10,-630,1,0,0,0,0.1
317,31.70000000000018,-2.7928000000000015,0.0,10,1607,1,0,0,0,0.1
318,31.800000000000182,-2.6321000000000017,0.0,10,1875,1,0,0,0,0.1
319,31.900000000000183,-2.4446000000000017,0.0,10,-1436,1,0,0,0,0.1
320,32.000000000000185,-2.588200000000002,0.0,10,-1518,1,0,0,0,0.1
321,32.100000000000186,-2.740000000000002,0.0,10,-2965,1,0,0,0,0.1
322,32.20000000000019,-3.036500000000002,0.0,10,500,1,0,0,0,0.1
323,32.30000000000019,-2.986500000000002,0.0,10,-2470,1,0,0,0,0.1
324,32.40000000000019,-3.233500000000002,0.0,10,1819,1,0,0,0,0.1
325,32.50000000000019,-3.051600000000002,0.0,10,-528,1,0,0,0,0.1
326,32.60000000000019,-3.104400000000002,0.0,10,-2527,1,0,0,0,0.1
327,32.700000000000195,-3.3571000000000017,0.0,10,2481,1,0,0,0,0.1
328,32.800000000000196,-3.1090000000000018,0.0,10,688,1,0,0,0,0.1
329,32.9000000000002,-3.040200000000002,0.0,10,-1182,1,0,0,0,0.1
330,33.0000000000002,-3.1584000000000017,0.0,10,-312,1,0,0,0,0.1
331,33.1000000000002,-3.1896000000000018,0.0,10,1399,1,0,0,0,0.1
332,33.2000000000002,-3.049700000000002,0.0,10,-1662,1,0,0,0,0.1
333,33.3000000000002,-3.2159000000000018,0.0,10,772,1,0,0,0,0.1
334,33.400000000000205,-3.138700000000002,0.0,10,585,1,0,0,0,0.1
335,33.500000000000206,-3.080200000000002,0.0,10,1028,1,0,0,0,0.1
336,33.60000000000021,-2.977400000000002,0.0,10,1670,1,0,0,0,0.1
337,33.70000000000021,-2.8104000000000022,0.0,10,-2710,1,0,0,0,0.1
338,33.80000000000021,-3.081400000000002,0.0,10,-294,1,0,0,0,0.1
339,33.90000000000021,-3.110800000000002,0.0,10,2226,1,0,0,0,0.1
